,Country,Total,Introduced,code
0,Afghanistan,1,2017.0,AFG
1,Albania,1,2018.0,ALB
2,Algeria,3,2020.0,DZA
3,Angola,1,2020.0,AGO
4,Argentina,91,2016.0,ARG
5,Armenia,1,2017.0,ARM
6,Australia,160,2015.0,AUS
7,Austria,12,2016.0,AUT
8,Azerbaijan,1,2016.0,AZE
9,Bahamas,1,2020.0,BHM
10,Bangladesh,4,2018.0,BGD
11,Belarus,1,2020.0,BLR
12,Belgium,90,2015.0,BEL
13,Bermuda,1,2014.0,BMU
14,Botswana,1,2020.0,BWA
15,Brazil,97,2016.0,BRA
16,Bulgaria,10,2017.0,BGR
17,Burkina Faso,1,2021.0,BFA
18,Cambodia,6,2017.0,KHM
19,Cameroon,1,2021.0,CMR
20,Canada,445,2013.0,CAN
21,Cayman Islands,2,2018.0,CYM
22,Chile,29,2016.0,CHL
23,China,162,2015.0,CHN
24,Colombia,52,2016.0,COL
25,Croatia,4,2016.0,HRV
26,Cuba,1,2016.0,CUB
27,Cyprus,1,2020.0,CYP
28,Czech Republic,22,2017.0,CZE
29,Denmark,48,2009.0,DNK
30,Dominican Republic,1,2018.0,DOM
31,Ecuador,1,2014.0,ECU
32,Egypt,117,2014.0,EGY
33,Ethiopia,1,2021.0,ETH
34,Finland,11,2016.0,FIN
35,France,393,2011.0,FRA
36,Georgia,2,2017.0,GEO
37,Germany,226,2015.0,DEU
38,Ghana,5,2019.0,GHA
39,Greece,11,2016.0,GRC
40,Guatemala,2,2018.0,GTM
41,Hong Kong,105,2016.0,HKG
42,Hungary,11,2014.0,HUN
43,Iceland,11,2016.0,ISL
44,India,1046,2016.0,IND
45,Indonesia,90,2016.0,IDN
46,Iran,4,2017.0,IRN
47,Iraq,2,2018.0,IRQ
48,Ireland,46,2013.0,IRL
49,Israel,30,2016.0,ISR
50,Italy,100,2015.0,ITA
51,Jamaica,1,2020.0,JAM
52,Japan,318,2015.0,JPN
53,Jordan,9,2016.0,JOR
54,Kazakhstan,1,2016.0,KAZ
55,Kenya,6,2018.0,KEN
56,Kuwait,8,2018.0,KWT
57,Latvia,1,2017.0,LVA
58,Lebanon,31,2017.0,LBN
59,Liechtenstein,1,2019.0,LIE
60,Lithuania,1,2017.0,LTU
61,Luxembourg,12,2018.0,LUX
62,Malawi,1,2019.0,MWI
63,Malaysia,26,2017.0,MYS
64,Malta,3,2020.0,MLT
65,Mauritius,2,2019.0,MUS
66,Mexico,169,2011.0,MEX
67,Mongolia,1,2017.0,MNG
68,Montenegro,1,2016.0,MNE
69,Morocco,6,2017.0,MAR
70,Mozambique,1,2020.0,MOZ
71,Namibia,2,2018.0,NAM
72,Nepal,2,2017.0,NPL
73,Netherlands,50,2016.0,NLD
74,New Zealand,33,2015.0,NZL
75,Nicaragua,1,2017.0,NIC
76,Nigeria,103,2015.0,NGA
77,Norway,30,2014.0,NOR
78,Pakistan,24,2016.0,PAK
79,Palestine,1,2021.0,PSE
80,Panama,1,2017.0,PAN
81,Paraguay,1,2019.0,PRY
82,Peru,10,2016.0,PER
83,Philippines,83,2017.0,PHL
84,Poland,41,2016.0,POL
85,Portugal,6,2017.0,PRT
86,Puerto Rico,1,2020.0,PRI
87,Qatar,10,2016.0,QAT
88,Romania,14,2017.0,ROU
89,Russia,27,2016.0,RUS
90,Samoa,1,2017.0,WSM
91,Saudi Arabia,13,2017.0,SAU
92,Senegal,3,2017.0,SEN
93,Serbia,7,2016.0,SRB
94,Singapore,41,2017.0,SGP
95,Slovakia,1,2017.0,SVK
96,Slovenia,3,2016.0,SVN
97,Somalia,1,2018.0,SOM
98,South Africa,62,2016.0,ZAF
99,South Korea,231,2016.0,KOR
100,Spain,232,2011.0,ESP
101,Sri Lanka,1,2017.0,LKA
102,Sudan,1,2018.0,SDN
103,Sweden,42,2016.0,SWE
104,Switzerland,19,2016.0,CHE
105,Syria,3,2018.0,SYR
106,Taiwan,89,2016.0,TWN
107,Thailand,70,2017.0,THA
108,Turkey,113,2016.0,TUR
109,Uganda,1,2018.0,UGA
110,Ukraine,3,2015.0,UKR
111,United Arab Emirates,37,2016.0,ARE
112,United Kingdom,806,2011.0,GBR
113,United States,3690,2008.0,USA
114,Uruguay,14,2017.0,URY
115,Venezuela,4,2017.0,VEN
116,Vietnam,7,2017.0,VNM
117,Zimbabwe,3,2016.0,ZWE
